,timesteps,numberofcustomers,fruit,dairy,spices,drink,checkout
0,2,1,0,0,1,0,0
1,2,3,1,0,0,1,1
2,2,4,3,0,0,0,1
3,2,4,0,0,3,1,0
4,2,6,2,1,1,0,2
5,2,9,0,5,1,0,3
6,2,9,0,1,0,5,3
7,2,9,3,1,2,1,2
8,2,10,3,0,3,1,3
9,2,10,0,4,1,0,5
10,2,10,0,2,1,3,4
11,2,10,2,2,0,1,5
12,2,10,1,0,1,4,4
13,2,11,3,0,4,0,4
14,2,12,2,0,2,2,6
15,2,13,5,2,1,0,5
16,2,15,2,0,5,3,5
17,2,16,3,2,2,1,8
18,2,17,3,4,0,3,7
19,2,18,3,2,5,3,5
20,2,19,4,2,3,1,9
21,2,21,3,4,3,1,10
22,2,22,3,2,0,5,12
23,2,24,5,2,3,2,12
24,2,25,4,3,1,4,13
25,2,26,2,3,6,2,13
26,2,27,4,2,4,1,16
27,2,29,2,1,3,3,20
28,2,31,3,5,1,2,20
29,2,35,5,3,3,3,21
30,2,37,2,6,4,3,22
31,2,39,4,3,4,4,24
32,2,40,3,8,3,3,23
33,2,40,6,5,2,5,22
34,2,42,4,3,9,4,22
35,2,45,2,5,5,5,28
36,2,46,4,4,1,4,33
37,2,47,4,0,4,6,33
38,2,49,3,8,3,2,33
39,2,50,6,3,1,8,32
40,2,51,7,3,3,4,34
41,2,53,4,5,5,4,35
42,2,55,3,4,4,3,41
43,2,57,4,5,2,5,41
44,2,59,3,5,4,5,42
45,2,60,6,5,3,4,42
46,2,62,4,8,3,3,44
47,2,64,3,5,2,7,47
48,2,65,7,1,5,6,46
49,2,69,3,6,8,1,51
50,2,71,3,5,4,3,56
51,2,74,6,2,1,5,60
52,2,74,3,1,4,6,60
53,2,77,6,5,3,3,60
54,2,78,4,1,6,5,62
55,2,80,3,4,4,2,67
56,2,83,3,3,2,4,71
57,2,84,3,4,3,3,71
58,2,84,4,2,3,4,71
59,2,86,5,2,3,2,74
60,2,88,2,1,6,2,77
61,2,89,5,4,1,1,78
62,2,91,2,0,5,5,79
63,2,93,5,4,1,2,81
64,2,94,3,1,6,3,81
65,2,96,2,2,5,5,82
66,2,97,4,4,2,3,84
67,2,99,2,5,3,3,86
68,2,102,3,5,3,4,87
69,2,103,1,4,4,5,89
70,2,106,2,8,2,2,92
71,2,108,1,4,3,7,93
72,2,111,6,4,3,3,95
73,2,112,4,0,7,6,95
74,2,113,7,4,3,2,97
75,2,115,4,2,5,7,97
76,2,119,5,5,5,5,99
77,2,122,5,2,7,7,101
78,2,124,7,1,7,2,107
79,2,126,5,4,4,2,111
80,2,129,6,2,4,3,114
81,2,132,6,3,5,3,115
82,2,135,6,3,4,4,118
83,2,136,4,0,8,4,120
84,2,139,6,3,4,2,124
85,2,143,3,2,8,4,126
86,2,147,7,4,3,3,130
87,2,150,8,2,6,4,130
88,2,153,7,2,5,3,136
89,2,155,2,7,6,1,139
90,2,157,1,4,4,6,142
91,2,159,5,3,3,5,143
92,2,162,7,4,5,3,143
93,2,163,4,4,5,5,145
94,2,163,2,6,4,5,146
95,2,165,6,4,1,4,150
96,2,168,3,3,5,5,152
97,2,170,6,2,4,2,156
98,2,173,2,5,6,2,158
99,2,175,5,0,3,4,163
100,2,178,7,2,4,1,164
101,2,180,4,4,3,4,165
102,2,182,5,4,1,7,165
103,2,184,6,3,6,2,167
104,2,188,3,3,6,5,171
105,2,191,7,1,3,7,173
106,2,194,3,7,5,5,174
107,2,195,7,2,4,5,177
108,2,197,5,4,5,1,182
109,2,200,4,2,5,5,184
110,2,204,7,5,4,1,187
111,2,206,4,4,3,6,189
112,2,209,6,2,4,5,192
113,2,212,8,2,5,4,193
114,2,215,3,4,7,5,196
115,2,217,8,6,1,4,198
116,2,221,5,3,9,5,199
117,2,224,5,6,3,6,204
118,2,227,4,3,5,7,208
119,2,229,6,5,4,1,213
120,2,232,1,4,6,7,214
121,2,234,4,5,2,5,218
122,2,236,4,3,4,6,219
123,2,236,6,1,5,3,221
124,2,238,3,4,6,2,223
125,2,238,4,2,6,4,222
126,2,238,4,2,4,6,222
127,2,241,6,2,2,4,227
128,2,243,3,5,5,3,227
129,2,243,4,2,3,6,228
130,2,245,5,3,3,4,230
131,2,247,3,6,2,4,232
132,2,250,7,3,3,5,232
133,2,251,4,4,6,2,235
134,2,253,5,2,3,7,236
135,2,255,6,6,3,3,237
136,2,256,5,2,3,9,237
137,2,258,8,3,3,5,239
138,2,262,7,4,7,3,241
139,2,265,6,2,5,8,244
140,2,266,5,4,5,3,249
141,2,268,3,4,4,4,253
142,2,270,7,1,3,3,256
143,2,271,3,1,5,3,259
144,2,272,4,1,3,2,262
145,2,274,0,4,3,4,263
146,2,275,6,2,0,4,263
147,2,277,4,4,3,2,264
148,2,280,2,2,7,5,264
149,2,282,3,5,4,4,266
150,2,285,5,6,2,3,269
151,2,287,5,1,6,6,269
152,2,289,3,3,8,3,272
153,2,290,4,3,3,4,276
154,2,291,3,4,3,5,276
155,2,292,6,1,4,2,279
156,2,294,3,1,6,3,281
157,2,296,7,3,2,0,284
158,2,298,2,1,6,2,287
159,2,300,2,2,1,4,291
160,2,302,3,2,2,3,292
161,2,304,1,1,4,3,295
162,2,306,0,5,2,3,296
163,2,308,1,3,2,4,298
164,2,310,4,3,0,3,300
165,2,312,2,4,3,3,300
166,2,313,3,4,2,2,302
167,2,317,3,0,5,6,303
168,2,319,4,3,3,1,308
169,2,320,3,1,4,2,310
170,2,321,5,2,4,0,310
171,2,323,3,1,5,2,312
172,2,324,3,2,2,2,315
173,2,326,4,0,4,2,316
174,2,327,4,2,2,1,318
175,2,329,1,1,3,3,321
176,2,330,1,2,3,1,323
177,2,332,3,2,1,2,324
178,2,332,2,0,4,3,323
179,2,333,3,3,0,2,325
180,2,333,2,4,2,2,323
181,2,335,4,0,3,4,324
182,2,339,3,3,5,0,328
183,2,340,0,2,3,5,330
184,2,342,6,2,0,2,332
185,2,344,3,1,5,2,333
186,2,347,3,3,3,2,336
187,2,349,2,1,4,4,338
188,2,352,6,1,2,2,341
189,2,354,3,1,6,1,343
190,2,355,2,0,4,3,346
191,2,356,1,3,2,2,348
192,2,357,3,2,2,3,347
193,2,359,2,1,4,1,351
